n_genes,mt,AUROC,n_cells,percent_discarded
1,100,0.6515157516702316,9988,0.0
1,25,0.7481475921594406,8061,19.29
1,5,0.5168945665162656,322,96.78
1000,100,0.7234261583990415,8643,13.47
1000,25,0.790310110500499,7716,22.75
1000,5,0.5411719879079986,90,99.1
1250,100,0.7504569486798872,8349,16.41
1250,25,0.7895752614638222,7640,23.51
1250,5,0.5004757976189015,49,99.51
1259,100,0.7499411586718491,8341,16.49
1259,25,0.7866247164744411,7636,23.55
1500,100,0.7643546107227309,8103,18.87
1500,25,0.7735082083522733,7527,24.64
1500,5,0.5,37,99.63
1750,100,0.7695635823888057,7681,23.1
1750,25,0.7816404265312363,7226,27.65
1750,5,0.499974576185004,29,99.71
2000,100,0.7920015200895225,6799,31.93
2000,25,0.8072293668769613,6449,35.43
2000,5,0.5,19,99.81
250,100,0.6629543312994713,9813,1.75
250,25,0.7481477260939513,8061,19.29
250,5,0.5168945665162656,322,96.78
2500,100,0.8262969902196524,4260,57.35
2500,25,0.8308148474103415,4020,59.75
2500,5,0.5,9,99.91
3000,100,0.8262840650416203,2520,74.77
3000,25,0.8308171485955765,2367,76.3
3000,5,0.4999985046147588,6,99.94
3500,100,0.8265446831811223,1588,84.1
3500,25,0.8247117631775144,1503,84.95
3500,5,0.5,4,99.96
4000,100,0.8164858536792846,941,90.58
4000,25,0.814244862490262,904,90.95
4000,5,0.5,3,99.97
4500,100,0.787166413439302,520,94.79
4500,25,0.7923364520515903,503,94.96
500,100,0.6583466718881218,9437,5.52
500,25,0.8036556259805921,7925,20.65
500,5,0.5319769835677146,238,97.62
5000,100,0.7719282130736604,269,97.31
5000,25,0.7708851907830712,262,97.38
750,100,0.6944608119554407,9027,9.62
750,25,0.8143814530352369,7808,21.83
750,5,0.5711160768722099,151,98.49
