percentile_low,percentile_high,mt,AUROC
1,99,100,0.6657665803290536
1,99,25,0.7430855819126924
10,90,100,0.6960203856967275
10,90,25,0.8233534999157872
15,85,100,0.7250905039578401
15,85,25,0.7785918055873536
20,80,100,0.769084075892807
20,80,25,0.8005250768966348
25,75,100,0.7760048412484807
25,75,25,0.7938250967858437
5,95,100,0.65756612630014
5,95,25,0.7919721806276536
1,100,25,0.7481475921594406
10,100,25,0.8095953285988355
15,100,25,0.7784887546445673
20,100,25,0.7818235925864444
25,100,25,0.784250361754146
5,100,25,0.8047874275935525
1,99,5,0.5168945665162656
10,90,5,0.5331689411995874
15,85,5,0.4999653626339793
20,80,5,0.4999977651733555
25,75,5,0.5
5,95,5,0.5418928548232318
