Number of Genes,Algorithm,1000TFsNet,500TFsNet,minimalNet
1000TFs,GENIE3,0.6670888060282163,0.6842385851893158,0.8128126923216161
1000TFs,GRNBOOST2,0.6101783876427942,0.6266223197052646,0.7804071788002751
1000TFs,PIDC,0.6787033307507793,0.6842087169843682,0.8192520725482387
1000TFs,PPCOR,0.5,0.5,0.5
1000TFs,SCODE,0.5109553741567359,0.5041777545762858,0.4802266227419181
1000TFs,SINCERITIES,0.5395614919074156,0.5433525528371727,0.6252479817543352
500TFs,GENIE3,0.6413436502988955,0.6846386950810206,0.8126298736560114
500TFs,GRNBOOST2,0.6121489498424976,0.635513291197635,0.7854238315896173
500TFs,PIDC,0.6431419687951654,0.6890064341774399,0.8206313579263658
500TFs,PPCOR,0.5,0.5,0.5
500TFs,SCODE,0.5866360678592453,0.5102257226054973,0.4845653983998841
500TFs,SINCERITIES,0.5635885021449357,0.5437455723362895,0.6267186764652644
